controller,initial_soc_spread_percentage_points,final_soc_spread_percentage_points,peak_soc_spread_percentage_points,initial_voltage_spread_mV,final_voltage_spread_mV,peak_voltage_spread_mV,balancing_energy_Wh,balancing_events,observer_controller_updates,peak_electrochemical_stress_index,scenario,gradient_weight,eta_weight,controller_label
Uncontrolled,8.000000000000007,9.595744680851137,9.595744680851137,72.55445694481111,75.53761486818678,90.70782623153883,0.0,0,364,0.42558837684219675,baseline,0.0,0.0,Uncontrolled
SOC,8.000000000000007,0.7694404361068719,8.000000000000007,72.55445694481111,23.866059853917765,72.55445694481111,1.8969592126423833,364,364,0.5279702582029943,baseline,0.0,0.0,SOC
Electrochemical,8.000000000000007,0.9268707482983807,8.000000000000007,72.55445694481111,27.288075326565853,72.55445694481111,1.8968083230611021,364,364,0.5279702582029943,baseline,0.2,0.1,Electrochemical
Electrochemical_no_gradient,8.000000000000007,0.7694404361068719,8.000000000000007,72.55445694481111,23.437412276761105,72.55445694481111,1.896959398895636,364,364,0.5279702582029943,baseline,0.0,0.1,Electrochemical_no_gradient
Electrochemical_no_overpotential,8.000000000000007,0.8828191209141023,8.000000000000007,72.55445694481111,29.56762153632031,72.55445694481111,1.8969944894915265,364,364,0.5279702582029943,baseline,0.2,0.0,Electrochemical_no_overpotential
Electrochemical,8.000000000000007,0.7694404361068719,8.000000000000007,72.55445694481111,23.866059853917765,72.55445694481111,1.8969592126423833,364,364,0.5279702582029943,baseline,0.0,0.0,Electrochemical_SOC_only
Uncontrolled,14.000000000000002,15.595744680851281,15.595744680851281,121.74239895987115,126.97789209032884,149.22765255575055,0.0,0,364,0.4261544332697242,soc_shift,0.0,0.0,Uncontrolled
SOC,14.000000000000002,5.276595744679985,14.000000000000002,121.74239895987115,19.13581415894683,121.74239895987115,1.900201958719799,364,364,0.5285363146305218,soc_shift,0.0,0.0,SOC
Electrochemical,14.000000000000002,5.276595744679985,14.000000000000002,121.74239895987115,19.13581415894683,121.74239895987115,1.900201958719799,364,364,0.5285363146305218,soc_shift,0.2,0.1,Electrochemical
Electrochemical_no_gradient,14.000000000000002,5.276595744679985,14.000000000000002,121.74239895987115,19.13581415894683,121.74239895987115,1.900201958719799,364,364,0.5285363146305218,soc_shift,0.0,0.1,Electrochemical_no_gradient
Electrochemical_no_overpotential,14.000000000000002,5.276595744679985,14.000000000000002,121.74239895987115,19.13581415894683,121.74239895987115,1.900201958719799,364,364,0.5285363146305218,soc_shift,0.2,0.0,Electrochemical_no_overpotential
Electrochemical,14.000000000000002,5.276595744679985,14.000000000000002,121.74239895987115,19.13581415894683,121.74239895987115,1.900201958719799,364,364,0.5285363146305218,soc_shift,0.0,0.0,Electrochemical_SOC_only
Uncontrolled,8.000000000000007,11.089887640448836,11.089887640448836,72.55445694481111,75.53761486818011,90.70782623153394,0.0,0,364,0.42558837684219675,capacity_resistance,0.0,0.0,Uncontrolled
SOC,8.000000000000007,2.1105239737453427,8.000000000000007,72.55445694481111,29.725444238567267,72.55445694481111,1.8975753999717946,364,364,0.5279702582029943,capacity_resistance,0.0,0.0,SOC
Electrochemical,8.000000000000007,2.165529474295397,8.000000000000007,72.55445694481111,33.13133353260733,72.55445694481111,1.8972301907893572,364,364,0.5279702582029943,capacity_resistance,0.2,0.1,Electrochemical
Electrochemical_no_gradient,8.000000000000007,2.1107990012484033,8.000000000000007,72.55445694481111,30.894262897916747,72.55445694481111,1.8975726674007733,364,364,0.5279702582029943,capacity_resistance,0.0,0.1,Electrochemical_no_gradient
Electrochemical_no_overpotential,8.000000000000007,2.1107990012484033,8.000000000000007,72.55445694481111,30.836831075613524,72.55445694481111,1.8974530743469504,364,364,0.5279702582029943,capacity_resistance,0.2,0.0,Electrochemical_no_overpotential
Electrochemical,8.000000000000007,2.1105239737453427,8.000000000000007,72.55445694481111,29.725444238567267,72.55445694481111,1.8975753999717946,364,364,0.5279702582029943,capacity_resistance,0.0,0.0,Electrochemical_SOC_only
