time_s,voltage_V,current_A,cell
0.0,3.60965734202758,5.0,A
10.0,3.5891667407256582,5.0,A
20.0,3.578254263157023,5.0,A
30.0,3.5707057571205216,5.0,A
40.0,3.564781923100764,5.0,A
50.0,3.5597921795295577,5.0,A
60.0,3.555411187632947,5.0,A
70.0,3.5514547426668766,5.0,A
80.0,3.5478082078898887,5.0,A
90.0,3.544397752180733,5.0,A
100.0,3.541171952792966,5.0,A
110.0,3.5380920792295205,5.0,A
120.0,3.5351290210339683,5.0,A
130.0,3.5322602139314747,5.0,A
140.0,3.5294678642121595,5.0,A
150.0,3.526737568978869,5.0,A
160.0,3.524057277240568,5.0,A
170.0,3.5214167245018473,5.0,A
180.0,3.518807066163181,5.0,A
190.0,3.5162205039142567,5.0,A
200.0,3.5136502888874426,5.0,A
210.0,3.511090461645671,5.0,A
220.0,3.5085356827956775,5.0,A
230.0,3.5059811256526827,5.0,A
240.0,3.5034224328293506,5.0,A
250.0,3.500855586309148,5.0,A
260.0,3.498277043667755,5.0,A
270.0,3.4956834616940315,5.0,A
280.0,3.493071882129155,5.0,A
290.0,3.490439558759843,5.0,A
300.0,3.4877839996649054,5.0,A
310.0,3.4851031404181763,5.0,A
320.0,3.4823949725583296,5.0,A
330.0,3.479657675510086,5.0,A
340.0,3.476890277905696,5.0,A
350.0,3.4740914406918484,5.0,A
360.0,3.4712601582053564,5.0,A
370.0,3.4683963542954865,5.0,A
380.0,3.4654996791235737,5.0,A
390.0,3.4625701456631788,5.0,A
400.0,3.459608442818213,5.0,A
410.0,3.4566153617897433,5.0,A
420.0,3.453592026888802,5.0,A
430.0,3.4505399513472628,5.0,A
440.0,3.4474609545866803,5.0,A
450.0,3.444357160421293,5.0,A
460.0,3.441230962244963,5.0,A
470.0,3.4380850206545435,5.0,A
480.0,3.4349222331344844,5.0,A
490.0,3.4317457375855973,5.0,A
500.0,3.4285588379762846,5.0,A
510.0,3.4253649507280914,5.0,A
520.0,3.4221676540479726,5.0,A
530.0,3.4189705977572893,5.0,A
540.0,3.4157774196870765,5.0,A
550.0,3.412591768991261,5.0,A
560.0,3.409417243616481,5.0,A
570.0,3.406257336305429,5.0,A
580.0,3.403115403035229,5.0,A
590.0,3.399994605981333,5.0,A
600.0,3.3968984587630047,5.0,A
610.0,3.3938286610577744,5.0,A
620.0,3.3907879792391853,5.0,A
630.0,3.387778652948694,5.0,A
640.0,3.3848022948976872,5.0,A
650.0,3.3818606979456,5.0,A
660.0,3.3789551857312383,5.0,A
670.0,3.376086314080314,5.0,A
680.0,3.373254657629718,5.0,A
690.0,3.370460604663797,5.0,A
700.0,3.3677038055017183,5.0,A
710.0,3.364983542618882,5.0,A
720.0,3.3622992472297977,5.0,A
730.0,3.3596496779420826,5.0,A
740.0,3.3570329102596452,5.0,A
750.0,3.3544473907051895,5.0,A
760.0,3.3518909491492503,5.0,A
770.0,3.349360538960281,5.0,A
780.0,3.346853536662244,5.0,A
790.0,3.3443666854914373,5.0,A
800.0,3.341896007854121,5.0,A
810.0,3.3394373909169053,5.0,A
820.0,3.3369863370864628,5.0,A
830.0,3.3345377801326754,5.0,A
840.0,3.3320861152940466,5.0,A
850.0,3.32962502074005,5.0,A
860.0,3.327147643982473,5.0,A
870.0,3.3246464258587918,5.0,A
880.0,3.3221129729222403,5.0,A
890.0,3.319538004330419,5.0,A
900.0,3.3169112592267136,5.0,A
910.0,3.314221401376705,5.0,A
920.0,3.311455919475342,5.0,A
930.0,3.308601028959792,5.0,A
940.0,3.305641580422852,5.0,A
950.0,3.302561035070391,5.0,A
960.0,3.299341299286018,5.0,A
970.0,3.2959627429084795,5.0,A
980.0,3.292404241911684,5.0,A
990.0,3.288643243866204,5.0,A
1000.0,3.2846559867684957,5.0,A
1010.0,3.280417638327626,5.0,A
1020.0,3.2759027189211745,5.0,A
1030.0,3.2710856408638644,5.0,A
1040.0,3.2659413559988844,5.0,A
1050.0,3.260446226684969,5.0,A
1060.0,3.254578904494361,5.0,A
1070.0,3.2483214726146796,5.0,A
1080.0,3.2416606595548774,5.0,A
1090.0,3.234589035003364,5.0,A
1100.0,3.2271061885589707,5.0,A
1110.0,3.219219592829798,5.0,A
1120.0,3.210945270962962,5.0,A
1130.0,3.2023080177204957,5.0,A
1140.0,3.1933410510464313,5.0,A
1150.0,3.1840850787453796,5.0,A
1160.0,3.1745867651916684,5.0,A
1170.0,3.1648966629256776,5.0,A
1180.0,3.155066745305569,5.0,A
1190.0,3.145147933987663,5.0,A
1200.0,3.1351866418372225,5.0,A
1210.0,3.1252232272155216,5.0,A
1220.0,3.1152894068884476,5.0,A
1230.0,3.1054068195134925,5.0,A
1240.0,3.095585920992577,5.0,A
1250.0,3.085825663259162,5.0,A
1260.0,3.076113529976836,5.0,A
1270.0,3.0664259954974935,5.0,A
1280.0,3.0567292518118405,5.0,A
1290.0,3.046980292346271,5.0,A
1300.0,3.037127697581064,5.0,A
1310.0,3.027112512669664,5.0,A
1320.0,3.01686911561473,5.0,A
1330.0,3.006325806574291,5.0,A
1340.0,2.995405132403526,5.0,A
1350.0,2.9840240169160834,5.0,A
1360.0,2.972093991635746,5.0,A
1370.0,2.959520789069325,5.0,A
1380.0,2.9462039647087748,5.0,A
1390.0,2.932036401795962,5.0,A
1400.0,2.916903708635843,5.0,A
1410.0,2.900683243229751,5.0,A
1420.0,2.8832431856680776,5.0,A
1430.0,2.864441436748751,5.0,A
1440.0,2.844124387239968,5.0,A
1450.0,2.822125554658351,5.0,A
1460.0,2.7982640721873224,5.0,A
1470.0,2.772342962357798,5.0,A
1480.0,2.744147564182142,5.0,A
1490.0,2.71344331434183,5.0,A
1500.0,2.679973621468966,5.0,A
1510.0,2.643457444921469,5.0,A
1520.0,2.6035866141160118,5.0,A
1530.0,2.5600228478267066,5.0,A
1540.0,2.5123944214108196,5.0,A
1542.4597599702377,2.5000100532391807,5.0,A
0.0,3.7190805369671884,5.0,B
10.0,3.7079559438666787,5.0,B
20.0,3.700113091913318,5.0,B
30.0,3.693595282225794,5.0,B
40.0,3.6877801658951133,5.0,B
50.0,3.682415399914032,5.0,B
60.0,3.677371649076054,5.0,B
70.0,3.6725773396708847,5.0,B
80.0,3.6679903478632,5.0,B
90.0,3.663581075224104,5.0,B
100.0,3.6593290139440913,5.0,B
110.0,3.655220089048125,5.0,B
120.0,3.65124417909283,5.0,B
130.0,3.6473929196614407,5.0,B
140.0,3.6436593375703787,5.0,B
150.0,3.6400375283098714,5.0,B
160.0,3.636523205012269,5.0,B
170.0,3.63311149445436,5.0,B
180.0,3.6297987452450857,5.0,B
190.0,3.6265805609172586,5.0,B
200.0,3.6234531414443847,5.0,B
210.0,3.6204124859854527,5.0,B
220.0,3.617455134707083,5.0,B
230.0,3.6145775669904814,5.0,B
240.0,3.6117764826872962,5.0,B
250.0,3.609048531632394,5.0,B
260.0,3.6063904119732886,5.0,B
270.0,3.6037989010130373,5.0,B
280.0,3.601270607807082,5.0,B
290.0,3.598802791678452,5.0,B
300.0,3.596392495274529,5.0,B
310.0,3.5940362596468067,5.0,B
320.0,3.591730447376417,5.0,B
330.0,3.5894743178861677,5.0,B
340.0,3.587264210437384,5.0,B
350.0,3.585096626317612,5.0,B
360.0,3.5829681342087913,5.0,B
370.0,3.5808793560015313,5.0,B
380.0,3.578826178594306,5.0,B
390.0,3.576806022690805,5.0,B
400.0,3.5748165567871926,5.0,B
410.0,3.572857063633621,5.0,B
420.0,3.57092495683549,5.0,B
430.0,3.5690184447301196,5.0,B
440.0,3.56713578226477,5.0,B
450.0,3.565275199535958,5.0,B
460.0,3.5634351861514557,5.0,B
470.0,3.5616142405969073,5.0,B
480.0,3.5598107690002365,5.0,B
490.0,3.5580231253897825,5.0,B
500.0,3.5562499113602914,5.0,B
510.0,3.5544896411294875,5.0,B
520.0,3.5527410162265105,5.0,B
530.0,3.5510027174048178,5.0,B
540.0,3.549273321995127,5.0,B
550.0,3.5475514750460966,5.0,B
560.0,3.5458360828167503,5.0,B
570.0,3.5441259163229604,5.0,B
580.0,3.5424197498544765,5.0,B
590.0,3.5407164253614574,5.0,B
600.0,3.5390152903870957,5.0,B
610.0,3.5373142725300686,5.0,B
620.0,3.5356124697687794,5.0,B
630.0,3.533908765515617,5.0,B
640.0,3.5322016844318687,5.0,B
650.0,3.530490396562772,5.0,B
660.0,3.528773796956291,5.0,B
670.0,3.5270507275535263,5.0,B
680.0,3.525319672073189,5.0,B
690.0,3.523579607942579,5.0,B
700.0,3.5218290330496416,5.0,B
710.0,3.520066815589657,5.0,B
720.0,3.51829150676417,5.0,B
730.0,3.5165018207818277,5.0,B
740.0,3.514696341234736,5.0,B
750.0,3.512873619652166,5.0,B
760.0,3.511032311407022,5.0,B
770.0,3.509170992185067,5.0,B
780.0,3.5072880734626484,5.0,B
790.0,3.505382112110872,5.0,B
