cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
A,0.0,5.0,3.749276551786766,0.6,18451.97287104763,18451.97287104763,0.0,31545.624886423535,31545.624886423535,0.0,0.07873627975534432,-0.012561545895054389,-0.0912978256503987
A,10.0,5.0,3.732564197847449,0.5972222222222222,18420.923936390886,18132.564743298524,-288.35919309236124,31581.752961328828,32324.708210545745,742.9552492169169,0.07864125451420205,-0.012565240941985908,-0.09120649545618796
A,20.0,5.0,3.7214164486085206,0.5944444444444444,18385.326597523584,17972.409772055387,-412.9168254681972,31619.394545379862,32821.77171499714,1202.3771696172807,0.07860035701303061,-0.012571531743073546,-0.09117188875610416
A,30.0,5.0,3.7124756492900586,0.5916666666666667,18345.84691248538,17842.59319706093,-503.2537154244492,31658.2454365198,33204.138394726986,1545.892958207187,0.07857049029545661,-0.012578465500476439,-0.09114895579593305
A,40.0,5.0,3.704695404614399,0.5888888888888889,18302.411949365815,17727.54334187338,-574.8686074924335,31698.151154433825,33526.351433610274,1828.2002791764498,0.07854646765158896,-0.012585729684839696,-0.09113219733642866
A,50.0,5.0,3.697642541843753,0.5861111111111111,18254.83709712652,17621.433791462805,-633.4033056637163,31739.018503034953,33811.26899519177,2072.250492156818,0.07852634294692266,-0.01259324164832265,-0.09111958459524531
A,60.0,5.0,3.6911028693561128,0.5833333333333333,18203.105186500725,17521.402563940377,-681.7026225603477,31780.7851273618,34070.50146049358,2289.716333131779,0.07850915081327312,-0.012600968908881363,-0.09111011972215448
A,70.0,5.0,3.6849618728908604,0.5805555555555555,18147.418324268387,17425.79236550413,-721.6259587642562,31823.407136659174,34310.58371103466,2487.1765743754877,0.07849432908652566,-0.012608887978646965,-0.09110321706517263
A,80.0,5.0,3.679144776412343,0.5777777777777777,18088.136762800674,17333.4821662004,-754.6545966002741,31866.85178179748,34535.88355443291,2669.0317726354333,0.07848150945912569,-0.0126169902620508,-0.09109849972117648
A,90.0,5.0,3.6736038450443145,0.575,18025.684125166135,17243.719459081476,-781.9646660846593,31911.094461425393,34749.33731587782,2838.2428544524264,0.07847044539404283,-0.012625269152575466,-0.09109571454661829
A,100.0,5.0,3.668307566795551,0.5722222222222222,17960.49384890901,17155.966938679823,-804.5269102291859,31956.116734005715,34952.999565427875,2996.882831422161,0.07846096312221862,-0.012633718097490634,-0.09109468121970925
A,110.0,5.0,3.6632338077384676,0.5694444444444444,17892.97912789073,17069.82823200965,-823.1508958810773,32001.90497159886,35148.37923392621,3146.4742623273487,0.07845293629010514,-0.012642331054057687,-0.09109526734416282
A,120.0,5.0,3.6583650848721474,0.5666666666666667,17823.50909465996,16984.991599873232,-838.5174947867272,32048.449266793607,35336.66487106272,3288.215604269113,0.07844626993718319,-0.012651104468986624,-0.09109737440616981
A,130.0,5.0,3.653687182880285,0.5638888888888889,17752.402776604104,16901.208483082766,-851.1942935213374,32095.742871431932,35518.80711909614,3423.0642476642097,0.07844089214277337,-0.012660036300620818,-0.0911009284433942
A,140.0,5.0,3.6491884878545795,0.5611111111111111,17679.933064574576,16818.282135884787,-861.650928689789,32143.781838153624,35695.565204325554,3551.7833661719305,0.0784367483801895,-0.012669124823137154,-0.09110587320332666
A,150.0,5.0,3.644858954059248,0.5583333333333333,17606.33342156242,16736.053605330184,-870.279816232236,32192.56460205817,35867.56249828683,3674.9978962286623,0.07843379703162784,-0.012678368895839379,-0.09111216592746722
A,160.0,5.0,3.6406901654598127,0.5555555555555555,17531.798377562012,16654.399239953324,-877.3991376086888,32242.091864839913,36035.2954738289,3793.2036089889843,0.078432006430176,-0.012687766541529765,-0.09111977297170577
A,170.0,5.0,3.6366746008292843,0.5527777777777777,17456.488447386546,16573.22100887716,-883.2674385093851,32292.36626671818,36199.17163050061,3906.8053637824305,0.07843135221467466,-0.012697315503781142,-0.0911286677184558
A,180.0,5.0,3.63280442365903,0.5499999999999999,17380.540535197426,16492.431228529076,-888.1093066683497,32343.39164147341,36359.56722084047,4016.1755793670636,0.07843181563474155,-0.01270701562735902,-0.09113883126210057
A,190.0,5.0,3.6290728207422633,0.5472222222222222,17304.064531187607,16411.96442623227,-892.1001049553379,32395.173253955123,36516.779750622,4121.606496666878,0.07843338244694194,-0.012716865347814644,-0.09115024779475658
A,200.0,5.0,3.625472374264575,0.5444444444444444,17227.15676198382,16331.75777734622,-895.3989846376007,32447.716853858565,36671.10220079799,4223.385346939427,0.07843604212070462,-0.01272686562190843,-0.09116290774261306
A,210.0,5.0,3.621997065587779,0.5416666666666666,17149.884655919013,16251.772201654981,-898.1124542640318,32501.029699995328,36822.74327770561,4321.713577710281,0.07843978648982848,-0.01273701437467358,-0.09117680086450206
A,220.0,5.0,3.61863961759195,0.5388888888888889,17072.322490719955,16171.958883695552,-900.3636070244029,32555.11782823886,36971.94697935025,4416.829151111389,0.07844461036118043,-0.012747313924493579,-0.091191924285674
A,230.0,5.0,3.6153950277508016,0.5361111111111111,16994.505941521205,16092.301790285317,-902.2041512358883,32609.989561019454,37118.84086745848,4508.8513064390245,0.07845050872474862,-0.012757760354770905,-0.09120826907951952
A,240.0,5.0,3.612256321093574,0.5333333333333333,16916.488998810964,16012.763314036583,-903.7256847743811,32665.650581276153,37263.62917891205,4597.978597635898,0.07845747964814412,-0.012768356599346251,-0.09122583624749037
A,250.0,5.0,3.6092183077059805,0.5305555555555556,16838.300030612954,15933.330494552687,-904.9695360602673,32722.107899934497,37406.42648346212,4684.318583527624,0.07846552074420564,-0.012779100517582078,-0.09124462126178771
A,260.0,5.0,3.6062752736353403,0.5277777777777777,16759.9685926011,15853.985101399288,-905.9834912018123,32779.36706943219,37547.36539007795,4767.998320645762,0.07847463113128149,-0.012789992384203166,-0.09126462351548466
A,270.0,5.0,3.6034215055347003,0.5249999999999999,16681.522137764674,15774.709024200716,-906.8131135639578,32837.432528063655,37686.576162780904,4849.143634717249,0.07848481106096865,-0.012801033417841808,-0.09128584447881045
A,280.0,5.0,3.600651666511342,0.5222222222222221,16602.983510356782,15695.488556171724,-907.4949541850583,32896.30790603115,37824.17066245011,4927.862756418959,0.0784960612722296,-0.012812224418625043,-0.09130828569085465
A,290.0,5.0,3.5979608330640276,0.5194444444444444,16524.366758824992,15616.315127445265,-908.051631379727,32955.99610102908,37960.24128390147,5004.245182872393,0.07850838257345266,-0.012823565479679501,-0.09133194805313216
A,300.0,5.0,3.595343862843965,0.5166666666666666,16445.691836192105,15537.175123691664,-908.5167125004409,33016.49801482663,38094.89434381982,5078.396328993185,0.07852177728638485,-0.012835058664870976,-0.09135683595125582
A,300.00000000000006,0.0,3.686700698795221,0.5166666666666666,16445.691836192105,15537.175123691664,-908.5167125004409,33016.49801482663,38094.89434381982,5078.396328993185,0.0,0.0,0.0
A,310.0,0.0,3.699541608535596,0.5166666666666666,16398.0179857153,15777.447363565556,-620.5706221497458,33041.68608958479,37449.147235910976,4407.461146326183,0.0,0.0,0.0
A,320.0,0.0,3.707309219604496,0.5166666666666666,16354.849450700194,15858.557021186058,-496.29242951413653,33066.174743718555,37084.088029511695,4017.91328579314,0.0,0.0,0.0
A,330.0,0.0,3.7128848352151858,0.5166666666666666,16315.528477696012,15909.280888545583,-406.2475891504291,33090.26643440215,36832.561449977875,3742.295015575728,0.0,0.0,0.0
