cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 1,0.0,2.5,3.982064065887455,0.8,5.0,0.012,3.637978807091713e-12,0.0,0.053503745218615555,-0.006510885367504817,-0.060014630586120374
Cell 1,10.0,2.5,3.972390945979345,0.7986111111111112,5.0,0.012,-144.1112276924432,371.43896996434705,0.05327708010146157,-0.006491490567168431,-0.059768570668630006
Cell 1,20.0,2.5,3.9660972051956547,0.7972222222222223,5.0,0.012,-206.49976871802937,601.2059837551169,0.05316613429682159,-0.006479741269746377,-0.05964587556656797
Cell 1,30.0,2.5,3.9612476344743626,0.7958333333333334,5.0,0.012,-251.614636823826,772.9432293228056,0.05307779510617181,-0.006471033680506229,-0.05954882878667804
Cell 1,40.0,2.5,3.9571674746125933,0.7944444444444445,5.0,0.012,-287.4571295409296,914.1557647250665,0.053000423105208104,-0.006463911106495984,-0.059464334211704085
Cell 1,50.0,2.5,3.953575405741409,0.7930555555555556,5.0,0.012,-316.7084146184534,1036.1622436641192,0.052929973418539174,-0.0064577809743924216,-0.0593877543929316
Cell 1,60.0,2.5,3.950324291067963,0.7916666666666667,5.0,0.012,-340.8444374712344,1144.8423568521976,0.0528642913300038,-0.006452338287270086,-0.05931662961727389
Cell 1,70.0,2.5,3.9473279781349504,0.7902777777777779,5.0,0.012,-360.81845104584136,1243.6193599109356,0.05280214021481334,-0.006447406206007377,-0.05924954642082071
Cell 1,80.0,2.5,3.944534263223599,0.788888888888889,5.0,0.012,-377.3333471842998,1334.5553063588814,0.05274275632870039,-0.006442877059044409,-0.059185633387744796
Cell 1,90.0,2.5,3.941905368169651,0.7875000000000001,5.0,0.012,-390.9828777524599,1419.1340230595197,0.052685588002466734,-0.006438674209407999,-0.05912426221187473
Cell 1,100.0,2.5,3.9394136245030285,0.7861111111111112,5.0,0.012,-402.2616113041622,1498.4362194502173,0.0526302327947676,-0.00643474210141686,-0.05906497489618446
Cell 1,110.0,2.5,3.937038904395829,0.7847222222222222,5.0,0.012,-411.576107448087,1573.2418709850135,0.05257639774251785,-0.006431040340421268,-0.059007438082939116
Cell 1,120.0,2.5,3.934766066204643,0.7833333333333333,5.0,0.012,-419.26322622484076,1644.1317478833662,0.05252386372847829,-0.0064275385388378355,-0.05895140226731613
Cell 1,130.0,2.5,3.932582982655176,0.7819444444444444,5.0,0.012,-425.604211739148,1711.5665914021556,0.05247245812810837,-0.006424212563171137,-0.058896670691279504
Cell 1,140.0,2.5,3.9304791891940356,0.7805555555555556,5.0,0.012,-430.8378160580178,1775.9422836168087,0.052422036070436974,-0.006421042044013632,-0.05884307811445061
Cell 1,150.0,2.5,3.928446816522107,0.7791666666666667,5.0,0.012,-435.15374996647006,1837.5499061574992,0.05237249097782131,-0.006418011453519665,-0.05879050243134098
Cell 1,160.0,2.5,3.9264785999096405,0.7777777777777778,5.0,0.012,-438.7156233732421,1896.6581933393172,0.05232372832797327,-0.006415106898164835,-0.05873883522613811
Cell 1,170.0,2.5,3.9245692442507525,0.7763888888888889,5.0,0.012,-441.64920031811926,1953.4551209798265,0.05227568212127506,-0.00641231795902147,-0.05868800008029653
Cell 1,180.0,2.5,3.9227136496813255,0.775,5.0,0.012,-444.0641007155609,2008.1224798030162,0.05222829174581177,-0.006409634961801643,-0.05863792670761341
Cell 1,190.0,2.5,3.920907416218198,0.7736111111111111,5.0,0.012,-446.05034052416886,2060.814359127544,0.05218150769318581,-0.006407049632828481,-0.05858855732601429
Cell 1,200.0,2.5,3.9191465007582984,0.7722222222222223,5.0,0.012,-447.6849607393451,2111.6715799826525,0.05213528688471543,-0.0064045545386749005,-0.05853984142339033
Cell 1,210.0,2.5,3.9174274834134066,0.7708333333333334,5.0,0.012,-449.02982552974936,2160.8100655218113,0.052089595312419135,-0.0064021434044152226,-0.05849173871683436
Cell 1,220.0,2.5,3.9157470442978424,0.7694444444444445,5.0,0.012,-450.1401406267905,2208.343380788083,0.052044401289775916,-0.006399810336297687,-0.058444211626073606
Cell 1,230.0,2.5,3.9141026551500957,0.7680555555555556,5.0,0.012,-451.05623937849305,2254.352155510798,0.0519996836731216,-0.006397550736651438,-0.058397234409773034
Cell 1,240.0,2.5,3.9124918880794453,0.7666666666666667,5.0,0.012,-451.8131464734324,2298.9141691279583,0.05195542307062343,-0.006395360312288086,-0.05835078338291152
Cell 1,250.0,2.5,3.9109127081536097,0.7652777777777778,5.0,0.012,-452.43749991086224,2342.091256007283,0.051911605236554394,-0.0063932354471446075,-0.058304840683699004
Cell 1,260.0,2.5,3.9093630009171783,0.763888888888889,5.0,0.012,-452.9529278188311,2383.950233407355,0.05186821532096581,-0.006391172549084942,-0.058259387870050756
Cell 1,270.0,2.5,3.9078410638277172,0.7625000000000001,5.0,0.012,-453.3774300406876,2424.541009323806,0.0518252432782749,-0.006389168687761371,-0.05821441196603627
Cell 1,280.0,2.5,3.906345229012192,0.7611111111111112,5.0,0.012,-453.7261934009621,2463.9131815201144,0.0517826795476398,-0.006387221078148992,-0.05816990062578879
Cell 1,290.0,2.5,3.904873811848355,0.7597222222222223,5.0,0.012,-454.0123429342384,2502.1183801469087,0.051740514438628586,-0.006385327009836397,-0.058125841448464985
Cell 1,300.0,2.5,3.9034254126300656,0.7583333333333334,5.0,0.012,-454.24829317982585,2539.1969561957158,0.05169874090053779,-0.006383484224178901,-0.05808222512471669
Cell 1,310.0,2.5,3.9019986213438975,0.7569444444444444,5.0,0.012,-454.4408413647034,2575.1902804018137,0.05165735237202585,-0.006381690526935767,-0.05803904289896162
Cell 1,320.0,2.5,3.9005921212794505,0.7555555555555555,5.0,0.012,-454.59918963736345,2610.1370662474,0.05161634254522089,-0.0063799439139659445,-0.057996286459186835
Cell 1,330.0,2.5,3.8992046682845514,0.7541666666666667,5.0,0.012,-454.7312480352339,2644.0736931432402,0.051575705758430124,-0.006378242538946954,-0.05795394829737708
Cell 1,340.0,2.5,3.897835138215956,0.7527777777777778,5.0,0.012,-454.8391919623391,2677.031326625045,0.051535438129185235,-0.006376584764510895,-0.05791202289369613
Cell 1,350.0,2.5,3.8964823985332604,0.7513888888888889,5.0,0.012,-454.92947030532014,2709.0429606305333,0.05149553479500674,-0.006374969000690121,-0.05787050379569686
Cell 1,360.0,2.5,3.895145411868421,0.75,5.0,0.012,-455.004873072965,2740.1374618397094,0.05145599215690848,-0.00637339382661697,-0.057829385983525446
