time_s,current_A,voltage_V,soc,negative_particle_average_mol_m3,negative_particle_surface_mol_m3,negative_surface_minus_average_mol_m3,positive_particle_average_mol_m3,positive_particle_surface_mol_m3,positive_surface_minus_average_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
0.0,5.0,3.944904586111898,0.8,24311.64211506697,24311.642115066974,3.637978807091713e-12,24097.78177282931,24097.78177282931,0.0,0.08425403361324764,-0.01292007674843043,-0.09717411036167807
10.0,5.0,3.925523682504943,0.7972222222222223,24280.593137203785,23992.24519564032,-288.3479415634647,24133.90985239695,24876.860331953907,742.9504795569555,0.08372207704473923,-0.012846610035822367,-0.0965686870805616
20.0,5.0,3.9130159333783765,0.7944444444444445,24244.99593271005,23832.055757925315,-412.9401747847369,24171.551418606494,25373.944346238997,1202.3929276325034,0.083468239023436,-0.012804539760359614,-0.09627277878379562
30.0,5.0,3.9035675031779484,0.7916666666666667,24205.516172110663,23702.2634261173,-503.2527459933626,24210.402324928116,25756.293082809127,1545.8907578810104,0.08326867804956964,-0.012774647113069703,-0.09604332516263935
40.0,5.0,3.8957841872306895,0.788888888888889,24162.08145462875,23587.206610776815,-574.874843851936,24250.30801592237,26078.526305191925,1828.2182892695564,0.08309623502572824,-0.01275108519162785,-0.09584732021735609
50.0,5.0,3.8890632619171814,0.7861111111111112,24114.506315001585,23481.102415401965,-633.4038995996198,24291.17538702142,26363.426248925203,2072.2508619037835,0.08294084927080943,-0.012731475304754122,-0.09567232457556354
60.0,5.0,3.8830881481448754,0.7833333333333334,24062.77418040402,23381.070979788296,-681.7032006157242,24332.942019184044,26622.65518422065,2289.7131650366064,0.08279749538979538,-0.012714615585980282,-0.09551211097577565
70.0,5.0,3.877675752563794,0.7805555555555556,24007.087326289387,23285.457125647186,-721.6302006422011,24375.563982793017,26862.758020176996,2487.194037383979,0.08266327066796747,-0.012699825786960883,-0.09536309645492835
80.0,5.0,3.872703072206346,0.7777777777777778,23947.80490866577,23193.14910343308,-754.6558052326909,24419.008630827833,27088.050377157622,2669.041746329789,0.08253623988702029,-0.012686663281991035,-0.09522290316901133
90.0,5.0,3.8680840295603263,0.775,23885.35352498303,23103.39057101709,-781.96295396594,24463.25137013788,27301.485983726434,2838.2346135885527,0.08241508609947025,-0.01267482624386538,-0.09508991234333564
100.0,5.0,3.863756281840711,0.7722222222222223,23820.164188496936,23015.638884266762,-804.5253042301738,24508.273661995107,27505.145471502612,2996.8718095075055,0.08229886564735346,-0.012664100668766609,-0.09496296631612007
110.0,5.0,3.8596730404305895,0.7694444444444445,23752.64859382972,22929.496727334517,-823.1518664952018,24554.06184805171,27700.53944702439,3146.477598972677,0.08218688603038982,-0.012654329049930226,-0.09484121508032003
120.0,5.0,3.855797227729048,0.7666666666666667,23683.177624412492,22844.657749090715,-838.5198753217774,24600.606097388798,27888.83426198804,3288.2281645992407,0.08207861510746182,-0.012645389757585307,-0.09472400486504713
130.0,5.0,3.852098235300381,0.763888888888889,23612.07143827938,22760.87492395694,-851.1965143224406,24647.899696419783,28070.97523625819,3423.0755398384063,0.08197362824924245,-0.012637185587442326,-0.09461081383668478
140.0,5.0,3.8485506219770445,0.7611111111111112,23539.602133229295,22677.95028565725,-861.6518475720441,24695.93869505426,28247.726479634854,3551.7877845805924,0.08187158706845055,-0.012629638260163726,-0.09450122532861427
150.0,5.0,3.845132921894059,0.7583333333333334,23466.00177540195,22595.725061045072,-870.2767143568781,24744.72155000458,28419.71064793815,3674.9890979335723,0.08177222073921238,-0.012622683918392422,-0.0943949046576048
160.0,5.0,3.8418269421727747,0.7555555555555556,23391.46493561993,22514.074505935256,-877.390429684674,24794.248955294817,28587.428846547024,3793.1798912522063,0.08167531465195342,-0.012616270200078113,-0.09429158485203154
170.0,5.0,3.838616314796748,0.7527777777777778,23316.15733800897,22432.891888209902,-883.2654497990661,24844.523195433496,28751.322050854873,3906.798855421377,0.08158068755763767,-0.012610352328589446,-0.09419103988622712
180.0,5.0,3.8354874728282704,0.75,23240.2078671262,22352.1036248099,-888.104242316298,24895.548656870968,28911.71201366036,4016.1633567893914,0.0814882063190469,-0.01260489409839791,-0.0940931004174448
190.0,5.0,3.8324270250498196,0.7472222222222222,23163.730745391178,22271.636119891587,-892.0946254995906,24947.330349857966,29068.928012191795,4121.597662333828,0.08139774515681614,-0.012599862476813956,-0.09399760763363009
200.0,5.0,3.8294228987895313,0.7444444444444445,23086.820523094804,22191.431650912004,-895.3888721828007,24999.874109907338,29223.24263434707,4223.368524439731,0.08130920274236797,-0.012595229353892852,-0.09390443209626081
210.0,5.0,3.8264637296823407,0.7416666666666667,23009.55377402124,22111.44196740609,-898.1118066151503,25053.186545279874,29374.89784533786,4321.711300057985,0.0812224934912529,-0.012590970120379569,-0.09381346361163248
220.0,5.0,3.8235392634594922,0.7388888888888889,22931.985651396208,22031.63472899676,-900.3509223994479,25107.275175999006,29524.079717168228,4416.804541169222,0.08113755323373999,-0.012587063886529049,-0.09372461712026904
230.0,5.0,3.8206385312919053,0.7361111111111112,22854.181355203254,21951.967305629798,-902.2140495734566,25162.145816676733,29671.00942114504,4508.863604468308,0.08105431040293164,-0.01258349073008883,-0.09363780113302046
240.0,5.0,3.817752696339621,0.7333333333333334,22776.165230859166,21872.429877102706,-903.7353537564595,25217.806814313873,29815.79302187589,4597.986207562015,0.08097273070937645,-0.01258023517807405,-0.0935529658874505
250.0,5.0,3.814871377590271,0.7305555555555556,22697.982783613556,21792.99141042435,-904.9913731892048,25274.263457717323,29958.609751717497,4684.346294000174,0.08089276005201149,-0.012577281370580989,-0.09347004142259248
260.0,5.0,3.8119853288911685,0.7277777777777779,22619.658750897608,21713.639173974072,-906.0195769235361,25331.521825040025,30099.57237160751,4768.050546567487,0.08081436512630691,-0.012574616180591682,-0.09338898130689859
270.0,5.0,3.80908527513349,0.7250000000000001,22541.21450684948,21634.361682961862,-906.852823887617,25389.5870066534,30238.787469565967,4849.200462912566,0.08073751527923358,-0.012572227597271139,-0.09330974287650472
280.0,5.0,3.8061614458098707,0.7222222222222222,22462.67405583993,21555.141941966598,-907.5321138733307,25448.462377665102,30376.37969230205,4927.917314636947,0.08066217599049014,-0.012570104283666861,-0.093232280274157
290.0,5.0,3.80320439460461,0.7194444444444444,22384.058030070617,21475.96788463812,-908.0901454324958,25508.150367710787,30512.452129803034,5004.301762092247,0.08058831897955451,-0.012568236207921003,-0.09315655518747551
300.0,5.0,3.8002051536989674,0.7166666666666667,22305.375419857075,21396.834301231156,-908.5411186259189,25568.653130483173,30647.083625903273,5078.4304954201,0.08051592346729415,-0.012566614460159505,-0.09308253792745366
310.0,5.0,3.79715447258208,0.7138888888888889,22226.643730637763,21317.729405321523,-908.9143253162401,25629.97044004069,30780.371455043864,5150.401015003172,0.08044496360454122,-0.012565230618155517,-0.09301019422269674
320.0,5.0,3.7940437576187165,0.7111111111111111,22147.873407386553,21238.646607952913,-909.2267994336398,25692.101529663698,30912.393008700503,5220.291479036805,0.08037541928130296,-0.012564077181949934,-0.09293949646325289
330.0,5.0,3.790865251393202,0.7083333333333334,22069.069186554043,21159.583856533583,-909.4853300204595,25755.045028352386,31043.20786313925,5288.162834786865,0.08030727508155129,-0.012563147378602334,-0.09287042246015362
340.0,5.0,3.7876117763401225,0.7055555555555556,21990.238823029584,21080.536430294967,-909.7023927346163,25818.797622581405,31172.881195108203,5354.083572526797,0.08024051385002187,-0.012562434893015189,-0.09280294874303706
350.0,5.0,3.784277318210777,0.7027777777777778,21911.386414533285,21001.50183100142,-909.8845835318643,25883.355855586284,31301.46985330996,5418.113997723678,0.08017512091368971,-0.01256193394321078,-0.0927370548569005
360.0,5.0,3.7808573618743893,0.7000000000000001,21832.514650005643,20922.479259417156,-910.0353905884876,25948.71477883119,31429.02117372711,5480.306394895921,0.0801110834586512,-0.012561639204089039,-0.09267272266274024
370.0,5.0,3.7773488972009908,0.6972222222222223,21753.627080749866,20843.466220512964,-910.1608602369015,26014.868661121356,31555.586887172794,5540.718226051438,0.08004838771102778,-0.012561545723223424,-0.0926099334342512
380.0,5.0,3.7737508749459714,0.6944444444444445,21674.72684059186,20764.460420007646,-910.266420584212,26081.810865001542,31681.21592977867,5599.405064777129,0.07998702052743963,-0.012561648935056163,-0.09254866946249579
